Year,Home_Prices
1975,24.35
1976,26.33
1977,30.57
1978,35.5
1979,40.44
1980,44.41
1981,47.04
1982,46.36
1983,48.32
1984,51.43
1985,54.27
1986,57.81
1987,61.68
1988,66.95
1989,72.81
1990,74.7
1991,75.36
1992,75.62
1993,75.42
1994,76.75
1995,79.59
1996,82.15
1997,85.29
1998,88.47
1999,92.29
2000,100.0
2001,106.73
2002,112.47
2003,117.56
2004,128.35
2005,144.21
2006,153.69
2007,154.6
2008,147.6
2009,136.56
2010,129.62
2011,123.88
2012,121.68
2013,125.87
2014,133.65
2015,139.56
2016,146.99
2017,154.91
2018,163.75
2019,170.52
2020,175.57
2021,195.88
2022,226.33
2023,239.16
2024,250.89
