FREQ,REF_AREA,COVERED_AREA,RE_TYPE,RE_VINTAGE,COMPILING_ORG,PRICED_UNIT,ADJUST_CODED,AVAILABILITY,BREAKS,COLLECTION_DETAIL,COVERAGE,DATA_COMP,DECIMALS,DOC_METHOD,MEASURE_DETAIL,META_UPDATE,PUBLICATIONS,TITLE_GRP,TITLE_GRP_COMPL,TITLE_GRP_NAT,UNIT_MEASURE,UNIT_MULT,COLLECTION,TIME_FORMAT,TIME_PERIOD,OBS_VALUE,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-01,5382,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-02,5382,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-03,5404,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-04,5393,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-05,5349,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-06,5263,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-07,5145,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-08,5145,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-09,5166,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-10,5243,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-11,5318,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2003-12,5350,F,,A
