,aed_sqm,source
2003-01,5382.0,BIS
2003-02,5382.0,BIS
2003-03,5404.0,BIS
2003-04,5393.0,BIS
2003-05,5349.0,BIS
2003-06,5263.0,BIS
2003-07,5145.0,BIS
2003-08,5145.0,BIS
2003-09,5166.0,BIS
2003-10,5243.0,BIS
2003-11,5318.0,BIS
2003-12,5350.0,BIS
2004-01,5521.0,BIS
2004-02,5974.0,BIS
2004-03,6038.0,BIS
2004-04,6082.0,BIS
2004-05,6146.0,BIS
2004-06,6276.0,BIS
2004-07,6362.0,BIS
2004-08,6371.0,BIS
2004-09,6448.0,BIS
2004-10,6577.0,BIS
2004-11,6954.0,BIS
2004-12,6587.0,BIS
2005-01,6674.0,BIS
2005-02,6835.0,BIS
2005-03,6813.0,BIS
2005-04,6803.0,BIS
2005-05,6856.0,BIS
2005-06,6932.0,BIS
2005-07,6964.0,BIS
2005-08,6985.0,BIS
2005-09,7019.0,BIS
2005-10,7050.0,BIS
2005-11,7040.0,BIS
2005-12,7051.0,BIS
2006-01,7620.0,BIS
2006-02,7740.0,BIS
2006-03,7557.0,BIS
2006-04,7566.0,BIS
2006-05,8008.0,BIS
2006-06,7868.0,BIS
2006-07,8493.0,BIS
2006-08,8353.0,BIS
2006-09,8708.0,BIS
2006-10,8310.0,BIS
2006-11,8632.0,BIS
2006-12,8492.0,BIS
2007-01,9257.0,BIS
2007-02,9224.0,BIS
2007-03,9376.0,BIS
2007-04,9558.0,BIS
2007-05,9774.0,BIS
2007-06,10010.0,BIS
2007-07,10355.0,BIS
2007-08,10699.0,BIS
2007-09,10969.0,BIS
2007-10,11366.0,BIS
2007-11,11712.0,BIS
2007-12,12099.0,BIS
2008-01,12507.0,BIS
2008-02,12830.0,BIS
2008-03,13165.0,BIS
2008-04,13466.0,BIS
2008-05,13789.0,BIS
2008-06,14004.0,BIS
2008-07,14209.0,BIS
2008-08,14208.0,BIS
2008-09,13746.0,BIS
2008-10,13250.0,BIS
2008-11,12874.0,BIS
2008-12,12411.0,BIS
2009-01,11958.0,BIS
2009-02,11615.0,BIS
2009-03,11334.0,BIS
2009-04,11066.0,BIS
2009-05,10829.0,BIS
2009-06,10666.0,BIS
2009-07,10516.0,BIS
2009-08,10419.0,BIS
2009-09,10387.0,BIS
2009-10,10345.0,BIS
2009-11,10301.0,BIS
2009-12,10247.0,BIS
2010-01,9935.0,BIS
2010-02,9796.0,BIS
2010-03,9655.0,BIS
2010-04,9612.0,BIS
2010-05,9407.0,BIS
2010-06,9364.0,BIS
2010-07,9225.0,BIS
2010-08,9149.0,BIS
2010-09,9096.0,BIS
2010-10,9021.0,BIS
2010-11,8944.0,BIS
2010-12,8892.0,BIS
2011-01,8934.0,BIS
2011-02,8967.0,BIS
2011-03,9020.0,BIS
2011-04,9010.0,BIS
2011-05,8933.0,BIS
2011-06,9010.0,BIS
2011-07,9096.0,BIS
2011-08,9128.0,BIS
2011-09,9193.0,BIS
2011-10,9225.0,BIS
2011-11,9374.0,BIS
2011-12,9452.0,BIS
2012-01,9407.0,BIS
2012-02,9472.0,BIS
2012-03,9645.0,BIS
2012-04,9859.0,BIS
2012-05,10000.0,BIS
2012-06,10193.0,BIS
2012-07,10259.0,BIS
2012-08,10420.0,BIS
2012-09,10602.0,BIS
2012-10,10807.0,BIS
2012-11,10946.0,BIS
2012-12,11109.0,BIS
2013-01,10973.0,BIS
2013-02,11204.0,BIS
2013-03,11192.0,BIS
2013-04,11285.0,BIS
2013-05,11661.0,BIS
2013-06,11880.0,BIS
2013-07,12070.0,BIS
2013-08,12380.0,BIS
2013-09,12892.0,BIS
2013-10,13269.0,BIS
2013-11,13516.0,BIS
2013-12,13900.0,BIS
2014-01,14243.0,BIS
2014-02,14923.0,BIS
2014-03,15438.0,BIS
2014-04,15920.0,BIS
2014-05,15928.0,BIS
2014-06,16077.0,BIS
2014-07,16040.0,BIS
2014-08,15766.0,BIS
2014-09,15984.0,BIS
2014-10,16095.0,BIS
2014-11,15767.0,BIS
2014-12,15686.0,BIS
2015-01,15309.0,BIS
