Symbol,Sector
NVDA,Information Technology
AAPL,Information Technology
MSFT,Information Technology
AMZN,Consumer Discretionary
GOOGL,Communication Services
GOOG,Communication Services
AVGO,Information Technology
META,Communication Services
TSLA,Consumer Discretionary
BRK-B,Financials
MU,Information Technology
LLY,Health Care
JPM,Financials
WMT,Consumer Staples
AMD,Information Technology
V,Financials
XOM,Energy
JNJ,Health Care
MA,Financials
INTC,Information Technology
ABBV,Health Care
ORCL,Information Technology
BAC,Financials
PLTR,Information Technology
CSCO,Information Technology
CVX,Energy
COST,Consumer Staples
KO,Consumer Staples
MRK,Health Care
CAT,Industrials
UNH,Health Care
LRCX,Information Technology
NFLX,Communication Services
AMAT,Information Technology
GE,Industrials
PG,Consumer Staples
MS,Financials
DELL,Information Technology
HD,Consumer Discretionary
GS,Financials
PM,Consumer Staples
RTX,Industrials
WFC,Financials
PANW,Information Technology
GEV,Industrials
ANET,Information Technology
AMGN,Health Care
TXN,Information Technology
C,Financials
SNDK,Information Technology
TMO,Health Care
KLAC,Information Technology
AXP,Financials
LIN,Materials
IBM,Information Technology
CRM,Information Technology
CRWD,Information Technology
VZ,Communication Services
TMUS,Communication Services
APH,Information Technology
PEP,Consumer Staples
SCHW,Financials
MRVL,Information Technology
ABT,Health Care
DE,Industrials
GILD,Health Care
DIS,Communication Services
MCD,Consumer Discretionary
STX,Information Technology
QCOM,Information Technology
T,Communication Services
NEE,Utilities
WELL,Real Estate
UNP,Industrials
BLK,Financials
ADI,Information Technology
BA,Industrials
PFE,Health Care
COP,Energy
WDC,Information Technology
UBER,Industrials
ETN,Industrials
NOW,Information Technology
BKNG,Consumer Discretionary
DHR,Health Care
TJX,Consumer Discretionary
VRTX,Health Care
BMY,Health Care
NEM,Materials
COF,Financials
CB,Financials
SPGI,Financials
ISRG,Health Care
PLD,Real Estate
PGR,Financials
CVS,Health Care
GLW,Information Technology
LMT,Industrials
PH,Industrials
SBUX,Consumer Discretionary
ACN,Information Technology
MDT,Health Care
SYK,Health Care
MO,Consumer Staples
FTNT,Information Technology
LOW,Consumer Discretionary
ADBE,Information Technology
ADP,Industrials
HOOD,Financials
BNY,Financials
ABNB,Consumer Discretionary
MPC,Energy
MCK,Health Care
VLO,Energy
APP,Communication Services
FCX,Materials
VRT,Industrials
HWM,Industrials
BX,Financials
PSX,Energy
SO,Utilities
EQIX,Real Estate
CME,Financials
